::Queue started at 24-Feb-2013 10:22:29, with machine clock reading 97272.9091.::
space	194549.8024
::Onset of trial expected: [N/A SELF PACED]  recorded: 156.0858 ::
trial	156.0858
::Onset of return expected: [N/A SELF PACED]  recorded: 156.8207 ::
return	156.8207
::Onset of trial expected: [N/A SELF PACED]  recorded: 157.5721 ::
trial	157.5721
::Onset of return expected: [N/A SELF PACED]  recorded: 158.3235 ::
return	158.3235
::Onset of trial expected: [N/A SELF PACED]  recorded: 159.0583 ::
trial	159.0583
::Onset of return expected: [N/A SELF PACED]  recorded: 159.8432 ::
return	159.8432
::Onset of trial expected: [N/A SELF PACED]  recorded: 160.5946 ::
trial	160.5946
::Onset of return expected: [N/A SELF PACED]  recorded: 161.4295 ::
return	161.4295
::Onset of trial expected: [N/A SELF PACED]  recorded: 162.1811 ::
trial	162.1811
::Onset of return expected: [N/A SELF PACED]  recorded: 163.0661 ::
return	163.0661
::Onset of trial expected: [N/A SELF PACED]  recorded: 163.9178 ::
trial	163.9178
::Onset of return expected: [N/A SELF PACED]  recorded: 164.7361 ::
return	164.7361
::Onset of trial expected: [N/A SELF PACED]  recorded: 165.4875 ::
trial	165.4875
::Onset of return expected: [N/A SELF PACED]  recorded: 166.3725 ::
return	166.3725
::Onset of trial expected: [N/A SELF PACED]  recorded: 167.124 ::
trial	167.1240
::Onset of return expected: [N/A SELF PACED]  recorded: 168.3263 ::
return	168.3263
::Onset of trial expected: [N/A SELF PACED]  recorded: 169.0778 ::
trial	169.0778
::Onset of return expected: [N/A SELF PACED]  recorded: 170.2634 ::
return	170.2634
::Onset of trial expected: [N/A SELF PACED]  recorded: 171.0148 ::
trial	171.0148
::Onset of return expected: [N/A SELF PACED]  recorded: 171.733 ::
return	171.7330
::Onset of trial expected: [N/A SELF PACED]  recorded: 172.4844 ::
trial	172.4844
::Onset of return expected: [N/A SELF PACED]  recorded: 173.2192 ::
return	173.2192
::Onset of trial expected: [N/A SELF PACED]  recorded: 173.9706 ::
trial	173.9706
::Onset of return expected: [N/A SELF PACED]  recorded: 174.839 ::
return	174.8390
::Onset of trial expected: [N/A SELF PACED]  recorded: 175.5905 ::
trial	175.5905
::Onset of return expected: [N/A SELF PACED]  recorded: 176.4421 ::
return	176.4421
::Onset of trial expected: [N/A SELF PACED]  recorded: 177.1936 ::
trial	177.1936
::Onset of return expected: [N/A SELF PACED]  recorded: 177.9283 ::
return	177.9283
::Onset of trial expected: [N/A SELF PACED]  recorded: 178.6798 ::
trial	178.6798
::Onset of return expected: [N/A SELF PACED]  recorded: 179.5649 ::
return	179.5649
::Onset of trial expected: [N/A SELF PACED]  recorded: 180.3163 ::
trial	180.3163
::Onset of return expected: [N/A SELF PACED]  recorded: 181.0511 ::
return	181.0511
::Onset of trial expected: [N/A SELF PACED]  recorded: 181.8025 ::
trial	181.8025
::Onset of return expected: [N/A SELF PACED]  recorded: 182.5373 ::
return	182.5373
::Onset of trial expected: [N/A SELF PACED]  recorded: 183.2888 ::
trial	183.2888
::Onset of return expected: [N/A SELF PACED]  recorded: 184.6079 ::
return	184.6079
::Onset of trial expected: [N/A SELF PACED]  recorded: 185.3595 ::
trial	185.3595
::Onset of return expected: [N/A SELF PACED]  recorded: 186.1111 ::
return	186.1111
::Onset of trial expected: [N/A SELF PACED]  recorded: 186.8456 ::
trial	186.8456
::Onset of return expected: [N/A SELF PACED]  recorded: 187.5972 ::
return	187.5972
::Onset of trial expected: [N/A SELF PACED]  recorded: 188.3319 ::
trial	188.3319
::Onset of return expected: [N/A SELF PACED]  recorded: 189.1001 ::
return	189.1001
::Onset of trial expected: [N/A SELF PACED]  recorded: 189.8515 ::
trial	189.8515
::Onset of return expected: [N/A SELF PACED]  recorded: 190.5863 ::
return	190.5863
::Onset of trial expected: [N/A SELF PACED]  recorded: 191.3378 ::
trial	191.3378
::Onset of return expected: [N/A SELF PACED]  recorded: 192.0892 ::
return	192.0892
::Onset of trial expected: [N/A SELF PACED]  recorded: 192.8407 ::
trial	192.8407
::Onset of return expected: [N/A SELF PACED]  recorded: 193.7925 ::
return	193.7925
::Onset of trial expected: [N/A SELF PACED]  recorded: 194.5439 ::
trial	194.5439
::Onset of return expected: [N/A SELF PACED]  recorded: 195.4456 ::
return	195.4456
::Onset of trial expected: [N/A SELF PACED]  recorded: 196.1805 ::
trial	196.1805
::Onset of return expected: [N/A SELF PACED]  recorded: 197.1156 ::
return	197.1156
::Onset of trial expected: [N/A SELF PACED]  recorded: 197.8671 ::
trial	197.8671
::Onset of return expected: [N/A SELF PACED]  recorded: 198.6854 ::
return	198.6854
::Onset of trial expected: [N/A SELF PACED]  recorded: 199.4368 ::
trial	199.4368
::Onset of return expected: [N/A SELF PACED]  recorded: 200.255 ::
return	200.2550
