Event Number	Event Type	Onset
223	return	182.0922836519
224	trial	182.8089923429
225	return	183.5257235450
226	trial	184.1586039270
227	return	184.9592717569
228	trial	185.6756253099
229	return	186.6917897139
230	trial	187.4092608669
231	return	188.2086040030
232	trial	188.9265415539
233	return	189.6431178190
234	trial	190.3593430560
235	return	191.0768628980
236	trial	191.7933458639
237	return	192.6934818729
238	trial	193.4106371619
239	return	194.1271608870
240	trial	194.8433415559
241	return	195.5601776049
242	trial	196.2776045050
243	return	197.0778543459
244	trial	197.7936843020
245	return	198.5613075990
246	trial	199.2777298969
247	return	199.9948322320
248	trial	200.7115888989
249	return	201.4282962839
250	trial	202.1451931980
251	return	202.8616349529
252	trial	203.5777844520
253	return	204.2952801189
254	trial	205.0281742900
255	return	205.8785537380
256	trial	206.5951583170
257	return	207.3124460099
258	trial	208.0285491790
259	return	208.7620283900
260	trial	209.4790296559
261	return	210.5632543530
262	trial	211.2790207659
263	return	211.9964345529
264	trial	212.7131385630
265	return	213.4294576789
266	trial	214.1467239320
267	return	214.8794192369
268	trial	215.5972846900
269	return	216.3298467300
270	trial	217.0476540950
271	return	218.0965780310
272	trial	218.8144537619
273	return	219.5310077500
274	trial	220.2467944700
275	return	220.9635735030
276	trial	221.6806120810
277	return	222.6142210979
278	trial	223.3312784700
279	return	224.0473264749
280	trial	224.7649466440
281	return	225.4810241880
282	trial	226.1981373300
283	return	226.9153455129
284	trial	227.6319282049
285	return	228.3654673749
286	trial	229.0822089160
287	return	229.7990075380
288	trial	230.5154712650
289	return	231.2327211109
290	trial	231.9490012550
291	return	232.6825178850
292	trial	233.3995231820
293	return	234.1326788670
294	trial	234.8502628199
295	return	235.7163818269
296	trial	236.4336232770
297	return	237.6009687909
298	trial	238.3164752329
299	return	239.0338831920
300	trial	239.7506475570
301	return	240.4672481229
302	trial	241.1840067010
303	return	242.2342470180
304	trial	242.9512114089
305	return	243.6685535309
306	trial	244.3842503519
307	return	245.1011366060
308	trial	245.8180539369
309	return	246.5349747629
310	trial	247.2514062090
311	return	247.9685581430
312	trial	248.6854562580
313	return	249.6689458260
314	trial	250.3856254769
315	return	251.1018651939
316	trial	251.8188774739
317	return	252.8857992899
318	trial	253.6024786000
319	return	254.3198449470
320	trial	255.0366905660
321	return	255.7531948619
322	trial	256.4699818139
323	return	257.1865723670
324	trial	257.9037732229
