Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
106	2	4	-1.461811e-02	-8.200745e-02	8.191556e+00	8.164026e+02	8.191556e+00	100	1	1
106	0	4	-1.564655e-02	0	3.718200e+00	3.386150e-15	3.718200e+00	100	1	0
107	2	1	-1.438416e-02	-1.617729e+00	9.988989e+01	4.686336e+02	9.988989e+01	100	0	1
107	0	1	-1.464607e-02	0	1.677598e-16	4.596160e-16	1.677598e-16	100	1	0
108	2	3	5.855237e-01	7.952119e-03	2.864265e-01	3.032332e+01	7.827541e-01	100	1	1
108	0	3	2.677371e-01	0	3.120928e+00	6.236733e+02	5.081489e+00	4.997642e+01	1	0
109	2	4	8.440747e-02	1.309343e+00	5.499136e+01	1.424224e+03	9.679058e+01	100	0	1
109	0	4	-1.448379e-02	0	5.272452e-16	1.134970e-15	5.272452e-16	100	1	0
110	2	2	1.814196e-02	-2.730107e+00	3.539653e+01	3.244189e+03	3.999719e+01	100	0	1
110	0	2	-1.426796e-02	0	4.696673e+00	2.701416e-15	4.696673e+00	100	1	0
111	2	3	7.020313e-01	1.679067e+00	3.992620e+01	5.782968e+02	9.844170e+01	100	0	1
111	0	3	1.001438e+00	0	8.175489e+01	1.751608e+03	9.977938e+01	3.642834e+01	1	0
112	2	1	7.011372e-01	-1.440425e+00	5.389340e+01	9.696774e+02	9.915136e+01	100	0	1
112	0	1	4.522014e-01	0	8.113078e+01	2.356609e+03	9.924856e+01	5.787480e+01	1	0
113	2	2	5.179841e-01	-2.931435e+00	9.178520e+00	9.119260e+02	2.086141e+01	100	0	1
113	0	2	2.851731e-01	0	1.595118e+01	3.092755e+03	2.268078e+01	5.031811e+01	1	0
114	2	4	8.591359e-02	2.945061e-01	1.299254e+01	1.243316e+03	2.902673e+01	100	0	1
114	0	4	-1.449999e-02	0	2.935421e+00	2.110482e-15	2.935421e+00	100	1	0
115	2	1	-1.430076e-02	-1.197735e+00	9.312159e+01	3.393984e+03	9.312159e+01	100	0	1
115	0	1	-1.456063e-02	0	2.276741e-16	8.465376e-16	2.276741e-16	100	1	0
116	2	3	-1.624100e-02	2.013086e+00	9.037738e+01	3.868245e+03	9.037738e+01	100	0	1
116	0	3	-1.544140e-02	0	5.751766e-16	1.800944e-15	5.751766e-16	100	1	0
117	2	4	-1.579388e-02	4.565778e-01	4.408791e+01	3.957183e+03	4.408791e+01	100	0	1
117	0	4	-1.469254e-02	0	1.369863e+00	4.596160e-16	1.369863e+00	100	1	0
118	2	2	-1.425579e-02	-2.600598e+00	5.149890e+01	4.414469e+03	5.149890e+01	100	0	1
118	0	2	-1.599605e-02	0	0	0	0	0	1	0
119	2	3	-1.441805e-02	2.097288e+00	8.645756e+01	4.344517e+03	8.645756e+01	100	0	1
119	0	3	-1.592749e-02	0	0	0	0	0	1	0
120	2	1	-1.469926e-02	-1.026931e+00	8.557147e+01	4.427878e+03	8.557147e+01	100	0	1
120	0	1	-1.585896e-02	0	5.991423e-17	5.862449e-17	5.991423e-17	100	1	0
121	2	2	-1.458789e-02	-2.610724e+00	5.062824e+01	4.366016e+03	5.062824e+01	100	0	1
121	0	2	-1.474567e-02	0	2.152642e+00	5.674850e-16	2.152642e+00	100	1	0
122	2	4	-1.614378e-02	5.664759e-01	5.366618e+01	4.528338e+03	5.366618e+01	100	0	1
122	0	4	-1.575612e-02	0	1.956947e-01	9.379918e-18	1.956947e-01	100	1	0
123	2	1	-1.453552e-02	-8.875228e-01	7.755102e+01	4.896068e+03	7.755102e+01	100	0	1
123	0	1	-1.457475e-02	0	2.767541e-01	7.659284e-02	2.767541e-01	100	1	0
124	2	3	-1.447206e-02	2.233733e+00	7.881880e+01	4.850781e+03	7.881880e+01	100	0	1
124	0	3	-1.617096e-02	0	2.156912e-16	2.532578e-16	2.156912e-16	100	1	0
125	2	4	-1.467899e-02	6.867942e-01	6.340615e+01	4.903087e+03	6.340615e+01	100	0	1
125	0	4	-1.478651e-02	0	3.913894e-01	3.751967e-17	3.913894e-01	100	1	0
126	2	2	-1.435225e-02	-2.458319e+00	6.313351e+01	4.896068e+03	6.313351e+01	100	0	1
126	0	2	-1.451162e-02	0	0	0	0	0	1	0
127	2	3	3.192421e-01	2.204077e+00	4.574310e+01	2.662109e+03	7.713860e+01	100	0	1
127	0	3	1.683255e-01	0	5.659323e+01	7.215046e+03	7.859446e+01	4.996717e+01	1	0
128	2	1	3.187906e-01	-9.156903e-01	4.437139e+01	2.759082e+03	7.634986e+01	100	0	1
128	0	1	3.346126e-01	0	5.602344e+01	7.205475e+03	7.792296e+01	4.944446e+01	1	0
129	1	1	1.218273e+00	4.489169e-02	1.626927e+00	1.760841e+02	1.920887e+01	2.673314e+00	1	1
129	0	1	2.676660e-01	0	3.417395e+00	6.782670e+02	3.910912e+00	5.044433e+01	1	0
130	1	4	4.688229e-01	-1.514727e-01	4.715231e+00	4.661241e+02	1.508941e+01	100	1	1
130	0	4	1.672116e-01	0	5.141091e+00	1.023148e+03	6.444501e+00	5.014332e+01	1	0
131	1	2	5.512184e-01	1.431395e-02	1.781118e+00	1.704261e+02	3.237783e+00	1.433138e+01	1	1
131	0	2	1.185977e-01	0	9.823070e-02	1.960769e+01	1.956943e-01	5.019598e+01	1	0
