::Queue started at 27-Feb-2013 11:40:20, with machine clock reading 2714.2293.::
::Experiment started at 27-Feb-2013 11:40:24, with machine clock reading 2717.992.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	5435.9701
::Onset of return expected: [N/A SELF PACED]  recorded: 384.8033 ::
return	384.8033
::Onset of trial expected: [N/A SELF PACED]  recorded: 385.7368 ::
trial	385.7368
::Onset of return expected: [N/A SELF PACED]  recorded: 387.0709 ::
return	387.0709
::Onset of trial expected: [N/A SELF PACED]  recorded: 387.7877 ::
trial	387.7877
::Onset of return expected: [N/A SELF PACED]  recorded: 389.3879 ::
return	389.3879
::Onset of trial expected: [N/A SELF PACED]  recorded: 390.2214 ::
trial	390.2214
::Onset of return expected: [N/A SELF PACED]  recorded: 392.3884 ::
return	392.3884
::Onset of rest expected: [N/A SELF PACED]  recorded: 393.8219 ::
rest	393.8219
::Onset of cue expected: [N/A SELF PACED]  recorded: 405.8405 ::
cue	405.8405
::Onset of trial expected: [N/A SELF PACED]  recorded: 406.3739 ::
trial	406.3739
::Onset of return expected: [N/A SELF PACED]  recorded: 407.5125 ::
return	407.5125
::Onset of trial expected: [N/A SELF PACED]  recorded: 408.7787 ::
trial	408.7787
::Onset of return expected: [N/A SELF PACED]  recorded: 410.9773 ::
return	410.9773
::Onset of trial expected: [N/A SELF PACED]  recorded: 412.0105 ::
trial	412.0105
::Onset of return expected: [N/A SELF PACED]  recorded: 413.5933 ::
return	413.5933
::Onset of trial expected: [N/A SELF PACED]  recorded: 415.0261 ::
trial	415.0261
::Onset of return expected: [N/A SELF PACED]  recorded: 417.4419 ::
return	417.4419
::Onset of trial expected: [N/A SELF PACED]  recorded: 418.9087 ::
trial	418.9087
::Onset of return expected: [N/A SELF PACED]  recorded: 420.3754 ::
return	420.3754
::Onset of trial expected: [N/A SELF PACED]  recorded: 421.6761 ::
trial	421.6761
::Onset of return expected: [N/A SELF PACED]  recorded: 423.4265 ::
return	423.4265
::Onset of trial expected: [N/A SELF PACED]  recorded: 424.6933 ::
trial	424.6933
::Onset of return expected: [N/A SELF PACED]  recorded: 428.3772 ::
return	428.3772
::Onset of trial expected: [N/A SELF PACED]  recorded: 430.4442 ::
trial	430.4442
::Onset of return expected: [N/A SELF PACED]  recorded: 431.8111 ::
return	431.8111
::Onset of trial expected: [N/A SELF PACED]  recorded: 432.5376 ::
trial	432.5376
::Onset of return expected: [N/A SELF PACED]  recorded: 434.2362 ::
return	434.2362
::Onset of trial expected: [N/A SELF PACED]  recorded: 435.5359 ::
trial	435.5359
::Onset of return expected: [N/A SELF PACED]  recorded: 436.8687 ::
