::Queue started at 28-Jan-2013 13:58:54, with machine clock reading 445078.3056.::
::Experiment started at 28-Jan-2013 13:58:55, with machine clock reading 445078.9117.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	890157.7901
return	170.7567
::Onset of trial expected: [N/A SELF PACED]  recorded: 171.3898 ::
trial	171.3898
::Onset of return expected: [N/A SELF PACED]  recorded: 172.1077 ::
return	172.1077
::Onset of trial expected: [N/A SELF PACED]  recorded: 172.7571 ::
trial	172.7571
::Onset of return expected: [N/A SELF PACED]  recorded: 173.4735 ::
return	173.4735
::Onset of trial expected: [N/A SELF PACED]  recorded: 174.1906 ::
trial	174.1906
::Onset of return expected: [N/A SELF PACED]  recorded: 174.9073 ::
return	174.9073
::Onset of trial expected: [N/A SELF PACED]  recorded: 175.6254 ::
trial	175.6254
::Onset of return expected: [N/A SELF PACED]  recorded: 176.3407 ::
return	176.3407
::Onset of trial expected: [N/A SELF PACED]  recorded: 176.974 ::
trial	176.9740
::Onset of return expected: [N/A SELF PACED]  recorded: 177.6912 ::
return	177.6912
::Onset of trial expected: [N/A SELF PACED]  recorded: 178.3409 ::
trial	178.3409
::Onset of return expected: [N/A SELF PACED]  recorded: 179.0584 ::
return	179.0584
::Onset of trial expected: [N/A SELF PACED]  recorded: 179.6924 ::
trial	179.6924
::Onset of return expected: [N/A SELF PACED]  recorded: 180.4084 ::
return	180.4084
::Onset of trial expected: [N/A SELF PACED]  recorded: 181.0417 ::
trial	181.0417
::Onset of return expected: [N/A SELF PACED]  recorded: 181.7591 ::
return	181.7591
::Onset of trial expected: [N/A SELF PACED]  recorded: 182.4083 ::
trial	182.4083
::Onset of return expected: [N/A SELF PACED]  recorded: 183.1253 ::
return	183.1253
::Onset of trial expected: [N/A SELF PACED]  recorded: 183.7591 ::
trial	183.7591
::Onset of return expected: [N/A SELF PACED]  recorded: 184.476 ::
return	184.4760
::Onset of trial expected: [N/A SELF PACED]  recorded: 185.1094 ::
trial	185.1094
::Onset of return expected: [N/A SELF PACED]  recorded: 185.826 ::
return	185.8260
::Onset of trial expected: [N/A SELF PACED]  recorded: 186.4766 ::
trial	186.4766
::Onset of return expected: [N/A SELF PACED]  recorded: 187.1934 ::
return	187.1934
::Onset of trial expected: [N/A SELF PACED]  recorded: 187.8266 ::
trial	187.8266
::Onset of return expected: [N/A SELF PACED]  recorded: 188.5436 ::
return	188.5436
::Onset of trial expected: [N/A SELF PACED]  recorded: 189.1767 ::
trial	189.1767
::Onset of return expected: [N/A SELF PACED]  recorded: 189.893 ::
return	189.8930
::Onset of trial expected: [N/A SELF PACED]  recorded: 190.6108 ::
trial	190.6108
::Onset of return expected: [N/A SELF PACED]  recorded: 191.3444 ::
return	191.3444
::Onset of trial expected: [N/A SELF PACED]  recorded: 191.9775 ::
trial	191.9775
::Onset of return expected: [N/A SELF PACED]  recorded: 192.6937 ::
return	192.6937
::Onset of trial expected: [N/A SELF PACED]  recorded: 193.327 ::
trial	193.3270
::Onset of return expected: [N/A SELF PACED]  recorded: 194.044 ::
return	194.0440
::Onset of trial expected: [N/A SELF PACED]  recorded: 194.6777 ::
