Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
406	3	2	5.842941e-01	6.487584e-02	4.336993e+00	4.334583e+02	6.493091e+00	1.000000e+02	1	1
407	3	3	1.016837e+00	-1.252986e-01	5.586512e+00	5.272672e+02	1.188823e+01	100	1	1
408	3	1	6.855141e-01	2.373129e-01	1.333771e+01	1.237447e+03	2.244028e+01	1.000000e+02	0	1
409	3	3	8.677834e-01	-1.510202e-01	6.989130e+00	6.566426e+02	1.429751e+01	100	0	1
410	3	4	9.339511e-01	1.542402e-01	8.993615e+00	9.126550e+02	1.577732e+01	100	0	1
411	3	1	1.434112e+00	1.288818e+00	5.423021e+01	1.659275e+03	1.056165e+02	100	0	1
412	3	2	1.300272e+00	-2.999219e-02	4.352452e+00	4.809637e+02	5.341280e+00	3.283383e+01	1	1
413	3	1	6.999685e-01	-7.680014e-02	4.010327e+00	3.898851e+02	7.481245e+00	100	1	1
414	3	2	7.829640e-01	-1.225182e-01	6.639016e+00	6.553815e+02	1.215547e+01	1.000000e+02	1	1
415	3	4	6.848434e-01	4.971142e-02	1.077537e+00	1.050330e+02	4.849620e+00	100	1	1
416	3	3	5.165704e-01	-6.923970e-02	4.729424e+00	4.773204e+02	6.999252e+00	100	1	1
417	3	4	9.008394e-01	7.839537e-01	1.637066e+01	1.159955e+03	7.065129e+01	100	0	1
418	3	2	7.504018e-01	1.023275e-01	4.944040e+00	5.316563e+02	1.104233e+01	100	1	1
419	3	1	6.845163e-01	1.095524e+00	7.020033e+01	3.744555e+03	1.036519e+02	1.000000e+02	0	1
420	3	3	9.006687e-01	-4.751820e-02	3.930726e+00	4.053698e+02	4.904172e+00	100	1	1
421	3	1	7.342189e-01	-1.839927e-01	1.085076e+01	1.073810e+03	1.841654e+01	1.000000e+02	0	1
422	3	2	8.506985e-01	-3.147357e-01	2.232058e+01	2.315066e+03	3.376642e+01	100	0	1
423	3	3	9.176669e-01	-2.828452e-01	1.837357e+01	1.685493e+03	2.666152e+01	100	0	1
424	3	4	1.084244e+00	1.305566e-01	7.515815e+00	7.902077e+02	1.380516e+01	100	1	1
425	3	2	9.847130e-01	-7.364773e-02	4.909786e+00	4.917297e+02	7.389404e+00	100	1	1
426	3	1	1.218014e+00	7.485751e-02	6.656378e+00	6.342695e+02	9.356735e+00	7.023502e+01	1	1
427	3	4	8.337876e-01	8.397018e-02	5.326454e+00	5.566433e+02	8.796022e+00	100	1	1
428	3	3	7.843020e-01	-2.305891e-01	1.351014e+01	1.312564e+03	2.280834e+01	1.000000e+02	0	1
429	3	2	7.163926e-01	1.747669e-01	6.985633e+00	6.624789e+02	1.674476e+01	1.000000e+02	0	1
430	3	1	7.680937e-01	2.335065e-01	1.497341e+01	1.389980e+03	2.207913e+01	100	0	1
431	3	3	7.345302e-01	-2.050209e-01	1.194883e+01	1.210028e+03	2.105783e+01	100	0	1
432	3	4	1.134824e+00	9.028057e-02	1.849227e+00	1.766615e+02	8.648247e+00	100	1	1
433	3	2	7.508371e-01	1.762567e-01	6.726366e+00	6.329355e+02	1.675926e+01	100	0	1
434	3	4	6.836926e-01	1.496698e-02	1.049208e+00	1.027614e+02	1.848559e+00	6.088695e+01	1	1
435	3	1	8.503205e-01	2.902425e-02	2.644947e+00	2.517655e+02	3.868371e+00	8.065087e+01	1	1
436	3	3	7.503339e-01	1.223119e-01	6.599179e+00	6.381380e+02	1.188685e+01	1.000000e+02	1	1
437	3	4	5.840381e-01	1.137550e+00	5.455107e+01	2.213603e+03	8.772682e+01	100	0	1
438	3	3	8.509832e-01	-6.780070e-02	4.302274e+00	4.338297e+02	6.847335e+00	9.379023e+01	1	1
439	3	1	1.001251e+00	2.628415e-02	2.021869e+00	1.924564e+02	3.423667e+00	7.284796e+01	1	1
440	3	2	1.017247e+00	1.716448e-01	4.006354e+00	3.802421e+02	1.645266e+01	1.000000e+02	0	1
441	3	3	6.680098e-01	2.655409e-01	1.340540e+01	1.233851e+03	2.503186e+01	100	0	1
442	3	2	9.175313e-01	-1.647944e-02	7.176143e+00	6.852336e+02	9.554918e+00	6.168237e+01	1	1
443	3	4	7.004226e-01	2.464339e-01	7.392294e+00	6.815191e+02	2.319089e+01	100	0	1
444	3	1	6.172297e-01	2.384523e-01	1.617494e+01	1.807759e+03	2.716699e+01	100	0	1
445	3	3	7.675604e-01	1.014372e-01	3.504449e+00	3.313238e+02	9.623281e+00	100	1	1
446	3	1	8.168588e-01	8.226547e-02	2.647329e+00	2.560359e+02	7.974286e+00	1.000000e+02	1	1
447	3	2	1.201528e+00	2.257166e-01	1.573325e+01	1.508123e+03	2.860813e+01	9.465976e+01	0	1
448	3	4	6.346000e-01	1.436445e-01	9.574675e+00	9.098276e+02	1.374439e+01	100	1	1
449	1	3	6.503503e-01	-3.776069e-02	4.588798e+00	4.820658e+02	4.750000e+00	5.405024e+01	1	1
450	1	4	6.014804e-01	-2.286156e-01	1.043882e+01	9.815038e+02	2.187793e+01	100	0	1
451	1	1	5.331023e-01	-1.179371e-01	5.742304e+00	5.427543e+02	1.119922e+01	100	1	1
452	1	2	6.016002e-01	-6.837148e-02	3.382656e+00	3.211806e+02	6.501953e+00	100	1	1
453	1	4	4.015256e-01	-1.221728e-01	8.467222e+00	8.420007e+02	1.220996e+01	8.821357e+01	1	1
454	1	1	6.517032e-01	-8.376003e-02	4.200731e+00	4.213366e+02	8.420898e+00	100	1	1
455	1	2	5.169048e-01	-1.272045e-01	4.504241e+00	4.586629e+02	1.302344e+01	100	1	1
456	1	3	8.004525e-01	-4.214036e-02	1.529430e+00	1.476393e+02	4.591797e+00	8.920778e+01	1	1
457	1	3	5.851071e-01	-7.209437e-02	3.512053e+00	3.335730e+02	6.859375e+00	100	1	1
458	1	2	5.343473e-01	-7.577479e-02	3.411096e+00	3.247337e+02	7.227539e+00	100	1	1
459	1	1	5.514751e-01	-8.142082e-02	2.145647e+00	2.054498e+02	7.813477e+00	100	1	1
460	1	4	5.173176e-01	-7.833014e-02	2.815437e+00	2.806171e+02	7.823242e+00	100	1	1
461	1	2	4.514920e-01	-5.188229e-02	4.002944e+00	3.815110e+02	4.949219e+00	8.032379e+01	1	1
462	1	3	8.674352e-01	-2.784778e-02	2.389625e+00	2.300527e+02	4.504883e+00	5.427766e+01	1	1
463	1	1	5.676368e-01	-5.831217e-02	3.667498e+00	3.606182e+02	5.740234e+00	7.536549e+01	1	1
464	1	4	6.342352e-01	-7.015081e-02	3.110772e+00	2.997824e+02	6.771484e+00	100	1	1
465	3	4	1.034529e+00	2.725237e-02	6.581018e+00	6.255026e+02	9.642616e+00	6.184014e+01	1	1
466	3	2	5.673633e-01	3.282371e-01	1.376690e+01	1.247701e+03	3.086480e+01	100	0	1
467	3	1	1.051101e+00	6.956323e-03	2.410555e+00	2.342599e+02	3.745456e+00	8.104851e+01	1	1
468	3	3	7.169606e-01	2.286695e-02	3.345872e+00	3.311459e+02	4.412512e+00	3.009363e+01	1	1
469	3	1	6.512981e-01	1.714484e-01	1.095512e+01	1.031351e+03	1.630144e+01	9.569660e+01	0	1
470	3	4	8.508661e-01	1.134151e-01	3.855269e+00	3.675292e+02	1.085865e+01	100	1	1
471	3	3	5.841574e-01	-1.599140e-01	5.819949e+00	5.630963e+02	1.560538e+01	100	0	1
472	3	2	1.050134e+00	1.618439e-01	5.810507e+00	5.464423e+02	1.590714e+01	9.745356e+01	0	1
473	3	4	7.014991e-01	1.161716e-01	4.677517e+00	4.453729e+02	1.111138e+01	1.000000e+02	1	1
474	3	2	1.050924e+00	7.235543e-02	8.505757e+00	8.140691e+02	1.350546e+01	6.401587e+01	1	1
475	3	1	8.338481e-01	8.747778e-02	9.257967e+00	8.871228e+02	1.294682e+01	8.180606e+01	1	1
476	3	3	1.200358e+00	2.108230e-01	7.566798e+00	7.339010e+02	2.075607e+01	100	0	1
477	3	4	8.505699e-01	2.194382e-01	1.126672e+01	1.066459e+03	2.111100e+01	100	0	1
478	3	3	6.344244e-01	1.981143e-02	1.342257e+00	1.440315e+02	2.862263e+00	2.207857e+01	1	1
479	3	2	1.017962e+00	1.081291e-01	5.310575e+00	5.105492e+02	1.135721e+01	9.291209e+01	1	1
480	3	1	8.507035e-01	4.698108e-02	3.557317e+00	3.489606e+02	4.674224e+00	7.753328e+01	1	1
481	3	2	1.100743e+00	7.952161e-03	5.262179e+00	5.085709e+02	1.310841e+01	6.779485e+01	1	1
482	3	3	9.679394e-01	1.796724e-01	8.643823e+00	8.092392e+02	1.700440e+01	100	0	1
483	3	4	1.183373e+00	-4.570992e-03	2.107307e+00	2.015130e+02	5.203864e+00	8.334717e+01	1	1
484	3	1	9.335909e-01	3.595756e-02	2.733566e+00	2.659864e+02	3.929829e+00	6.649800e+01	1	1
485	3	1	8.513373e-01	9.061032e-02	5.531968e+00	5.281052e+02	8.673797e+00	9.845639e+01	1	1
486	3	2	1.084213e+00	5.883008e-02	3.828249e+00	3.631055e+02	6.875647e+00	9.242771e+01	1	1
487	3	4	-1.177057e+05	-1.518845e-01	3.214043e+01	3.557308e+03	4.697841e+01	9.335172e+01	0	0
488	3	3	1.001406e+00	1.322610e-01	3.441543e+00	3.310801e+02	1.279836e+01	100	1	1
489	3	4	1.417587e+00	4.500829e-01	3.036516e+01	3.966948e+03	5.167059e+01	1.945092e+01	0	1
490	3	3	1.117381e+00	9.520536e-02	4.131152e+00	4.060049e+02	9.568729e+00	9.569009e+01	1	1
491	3	2	1.001174e+00	5.718695e-02	2.907808e+00	2.806237e+02	5.524962e+00	100	1	1
492	3	1	6.165494e-01	6.147138e-02	4.597331e+00	4.529125e+02	6.247951e+00	9.420539e+01	1	1
493	3	4	1.050281e+00	3.321258e-02	1.707516e+00	1.636729e+02	3.675712e+00	9.500403e+01	1	1
494	3	3	1.200931e+00	5.088143e-02	5.821754e+00	5.543261e+02	1.000722e+01	5.757571e+01	1	1
495	3	2	8.843262e-01	7.233982e-02	6.089485e+00	5.835189e+02	1.081238e+01	9.135103e+01	1	1
496	3	1	7.677914e-01	5.915641e-02	5.124334e+00	4.908786e+02	6.593909e+00	8.865733e+01	1	1
497	3	4	-1.176882e+05	2.663942e-02	2.501148e+00	1.880375e+02	5.134120e+00	8.064718e+01	1	0
498	3	2	1.117060e+00	6.396664e-04	7.021985e+00	6.746544e+02	1.098916e+01	4.044705e+01	1	1
499	3	1	8.849921e-01	3.826223e-02	1.529350e+00	1.457163e+02	3.647400e+00	100	1	1
500	3	3	9.005897e-01	1.702020e-01	6.815793e+00	6.427011e+02	1.620683e+01	9.804694e+01	0	1
501	3	1	6.663250e-01	5.554036e-02	3.332131e+00	3.197055e+02	5.334375e+00	100	1	1
502	3	3	1.166715e+00	6.274846e-01	3.096002e+01	5.114442e+03	5.676327e+01	1.000000e+02	0	1
503	3	2	9.499775e-01	3.264778e-02	3.956959e+00	3.773246e+02	5.419311e+00	2.371028e+01	1	1
504	3	4	1.100675e+00	5.069305e-02	4.321285e+00	4.130474e+02	1.221693e+01	8.638429e+01	1	1
505	3	2	8.834491e-01	1.375189e-01	8.312155e+00	7.922968e+02	1.558604e+01	9.014598e+01	1	1
506	3	3	1.234745e+00	7.402448e-02	4.640391e+00	4.503198e+02	1.051200e+01	8.633569e+01	1	1
507	3	4	1.367324e+00	6.868405e-02	9.988468e+00	9.527070e+02	2.025198e+01	8.564644e+01	1	1
508	3	1	9.679980e-01	1.611981e-02	6.667800e+00	6.449026e+02	1.015430e+01	7.156371e+01	1	1
509	3	4	1.233682e+00	-7.147283e-03	1.696457e+00	1.619334e+02	4.911078e+00	7.897737e+01	1	1
